2022-02-09T12:00:15Z;Lansen;48D81D236064AD81F9;-56.8;25;{"header":{"gw":"","ts":"2022-02-09T12:00:20Z"},"data":[{"uid":"MA0412D2A0000046F000","ts":"2022-02-09T12:00:15Z","type":"MIOTY","rssi":-56.8,"snr":25,"frame":"48D81D236064AD81F9","uuid":"8DE438D44267B0F8D1FBE8F5A44FCCDA"},{"uid":"M00124B001CAB4B9B000","ts":"2022-02-09T12:00:19Z","type":"MIOTY","rssi":-63.2,"snr":24.6,"frame":"0175000100341338","uuid":"35482F78F96E247237E8E16A3466C49C"}]}
2022-02-09T12:00:19Z;TI;0175000100341338;-63.2;24.6;{"header":{"gw":"","ts":"2022-02-09T12:00:20Z"},"data":[{"uid":"MA0412D2A0000046F000","ts":"2022-02-09T12:00:15Z","type":"MIOTY","rssi":-56.8,"snr":25,"frame":"48D81D236064AD81F9","uuid":"8DE438D44267B0F8D1FBE8F5A44FCCDA"},{"uid":"M00124B001CAB4B9B000","ts":"2022-02-09T12:00:19Z","type":"MIOTY","rssi":-63.2,"snr":24.6,"frame":"0175000100341338","uuid":"35482F78F96E247237E8E16A3466C49C"}]}
2022-02-09T12:00:22Z;TI;0275FE004500505F;-64.5;25.4;{"header":{"gw":"","ts":"2022-02-09T12:00:27Z"},"data":[{"uid":"M00124B001CAB4B9B000","ts":"2022-02-09T12:00:22Z","type":"MIOTY","rssi":-64.5,"snr":25.4,"frame":"0275FE004500505F","uuid":"BD83391DBAEAC2DB736E8A731CDC5579"}]}
2022-02-09T12:00:49Z;TI;0176000100341238;-63.5;23.1;{"header":{"gw":"","ts":"2022-02-09T12:00:54Z"},"data":[{"uid":"M00124B001CAB4B9B000","ts":"2022-02-09T12:00:49Z","type":"MIOTY","rssi":-63.5,"snr":23.1,"frame":"0176000100341238","uuid":"7EB5C3CCB1B9D559FC8463C859006E19"},{"uid":"M00124B001CAB4B9B000","ts":"2022-02-09T12:00:52Z","type":"MIOTY","rssi":-57.6,"snr":21.9,"frame":"0276FE004500505F","uuid":"D590CA151B4C25B107DD6A593059E2E7"}]}
2022-02-09T12:00:52Z;TI;0276FE004500505F;-57.6;21.9;{"header":{"gw":"","ts":"2022-02-09T12:00:54Z"},"data":[{"uid":"M00124B001CAB4B9B000","ts":"2022-02-09T12:00:49Z","type":"MIOTY","rssi":-63.5,"snr":23.1,"frame":"0176000100341238","uuid":"7EB5C3CCB1B9D559FC8463C859006E19"},{"uid":"M00124B001CAB4B9B000","ts":"2022-02-09T12:00:52Z","type":"MIOTY","rssi":-57.6,"snr":21.9,"frame":"0276FE004500505F","uuid":"D590CA151B4C25B107DD6A593059E2E7"}]}
2022-02-09T12:01:16Z;Lansen;48D8212360748D81B9;-55.5;27.2;{"header":{"gw":"","ts":"2022-02-09T12:01:21Z"},"data":[{"uid":"MA0412D2A0000046F000","ts":"2022-02-09T12:01:16Z","type":"MIOTY","rssi":-55.5,"snr":27.2,"frame":"48D8212360748D81B9","uuid":"A641CBEABA8F39F6371ACCCFFB2D3B9F"},{"uid":"M00124B001CAB4B9B000","ts":"2022-02-09T12:01:19Z","type":"MIOTY","rssi":-56.5,"snr":22,"frame":"0177000100341338","uuid":"B200657F68FB82BCE0328574B1B322C3"}]}
2022-02-09T12:01:19Z;TI;0177000100341338;-56.5;22;{"header":{"gw":"","ts":"2022-02-09T12:01:21Z"},"data":[{"uid":"MA0412D2A0000046F000","ts":"2022-02-09T12:01:16Z","type":"MIOTY","rssi":-55.5,"snr":27.2,"frame":"48D8212360748D81B9","uuid":"A641CBEABA8F39F6371ACCCFFB2D3B9F"},{"uid":"M00124B001CAB4B9B000","ts":"2022-02-09T12:01:19Z","type":"MIOTY","rssi":-56.5,"snr":22,"frame":"0177000100341338","uuid":"B200657F68FB82BCE0328574B1B322C3"}]}
2022-02-09T12:01:22Z;TI;0277FE014500505F;-56.1;23.6;{"header":{"gw":"","ts":"2022-02-09T12:01:27Z"},"data":[{"uid":"M00124B001CAB4B9B000","ts":"2022-02-09T12:01:22Z","type":"MIOTY","rssi":-56.1,"snr":23.6,"frame":"0277FE014500505F","uuid":"48737F6BB584CB7095F1DF00DAAF9E0E"}]}
2022-02-09T12:01:49Z;TI;0178000100341238;-54.3;23.2;{"header":{"gw":"","ts":"2022-02-09T12:01:54Z"},"data":[{"uid":"M00124B001CAB4B9B000","ts":"2022-02-09T12:01:49Z","type":"MIOTY","rssi":-54.3,"snr":23.2,"frame":"0178000100341238","uuid":"68BA4E5F1C2A2FDCBB11344BDEF848A2"},{"uid":"M00124B001CAB4B9B000","ts":"2022-02-09T12:01:52Z","type":"MIOTY","rssi":-54.3,"snr":25.4,"frame":"0278FE014500505F","uuid":"FB4B24E22292F93194AC4AFDF8E62CA6"}]}
2022-02-09T12:01:52Z;TI;0278FE014500505F;-54.3;25.4;{"header":{"gw":"","ts":"2022-02-09T12:01:54Z"},"data":[{"uid":"M00124B001CAB4B9B000","ts":"2022-02-09T12:01:49Z","type":"MIOTY","rssi":-54.3,"snr":23.2,"frame":"0178000100341238","uuid":"68BA4E5F1C2A2FDCBB11344BDEF848A2"},{"uid":"M00124B001CAB4B9B000","ts":"2022-02-09T12:01:52Z","type":"MIOTY","rssi":-54.3,"snr":25.4,"frame":"0278FE014500505F","uuid":"FB4B24E22292F93194AC4AFDF8E62CA6"}]}
