x-axis,1,F1
second,Ampere,Volt
-10.0000000E+00,-317.8E-06,+3.1639404E+00
-9.9996800E+00,-719.8E-06,+3.1639404E+00
-9.9993600E+00,-317.8E-06,+3.1639404E+00
-9.9990400E+00,-317.8E-06,+3.1639404E+00
-9.9987200E+00,-719.8E-06,+3.1639404E+00
-9.9984000E+00,+486.2E-06,+3.1639404E+00
-9.9980800E+00,-317.8E-06,+3.1639404E+00
-9.9977600E+00,-1.1219E-03,+3.1639404E+00
-9.9974400E+00,-317.8E-06,+3.1639404E+00
-9.9971200E+00,-719.8E-06,+3.1639404E+00
-9.9968000E+00,-719.8E-06,+3.1639404E+00
-9.9964800E+00,-317.8E-06,+3.1639404E+00
-9.9961600E+00,-719.8E-06,+3.1639404E+00
-9.9958400E+00,-1.1219E-03,+3.1639404E+00
-9.9955200E+00,+84.2E-06,+3.1639404E+00
-9.9952000E+00,-317.8E-06,+3.1639404E+00
-9.9948800E+00,-719.8E-06,+3.1639404E+00
-9.9945600E+00,-1.1219E-03,+3.1639404E+00
-9.9942400E+00,-317.8E-06,+3.1639404E+00
-9.9939200E+00,-719.8E-06,+3.1639404E+00
-9.9936000E+00,-719.8E-06,+3.1639404E+00
-9.9932800E+00,-719.8E-06,+3.1639404E+00
-9.9929600E+00,-719.8E-06,+3.1639404E+00
-9.9926400E+00,-719.8E-06,+3.1639404E+00
-9.9923200E+00,-317.8E-06,+3.1639404E+00
-9.9920000E+00,-317.8E-06,+3.1639404E+00
-9.9916800E+00,-317.8E-06,+3.1639404E+00
-9.9913600E+00,-719.8E-06,+3.1639404E+00
-9.9910400E+00,-1.1219E-03,+3.1639404E+00
-9.9907200E+00,-317.8E-06,+3.1639404E+00
-9.9904000E+00,-719.8E-06,+3.1639404E+00
-9.9900800E+00,-1.1219E-03,+3.1639404E+00
-9.9897600E+00,-317.8E-06,+3.1639404E+00
-9.9894400E+00,-719.8E-06,+3.1639404E+00
-9.9891200E+00,-719.8E-06,+3.1639404E+00
-9.9888000E+00,-317.8E-06,+3.1639404E+00
-9.9884800E+00,-317.8E-06,+3.1639404E+00
-9.9881600E+00,-719.8E-06,+3.1639404E+00
-9.9878400E+00,-1.1219E-03,+3.1639404E+00
-9.9875200E+00,-317.8E-06,+3.1639404E+00
-9.9872000E+00,-719.8E-06,+3.1639404E+00
-9.9868800E+00,-317.8E-06,+3.1639404E+00
-9.9865600E+00,-1.1219E-03,+3.1639404E+00
-9.9862400E+00,+84.2E-06,+3.1639404E+00
-9.9859200E+00,-719.8E-06,+3.1639404E+00
-9.9856000E+00,-317.8E-06,+3.1639404E+00
-9.9852800E+00,-317.8E-06,+3.1639404E+00
-9.9849600E+00,-317.8E-06,+3.1639404E+00
-9.9846400E+00,-317.8E-06,+3.1639404E+00
-9.9843200E+00,-317.8E-06,+3.1639404E+00
-9.9840000E+00,-1.1219E-03,+3.1639404E+00
-9.9836800E+00,-719.8E-06,+3.1639404E+00
-9.9833600E+00,-719.8E-06,+3.1639404E+00
-9.9830400E+00,-317.8E-06,+3.1639404E+00
-9.9827200E+00,-719.8E-06,+3.1639404E+00
-9.9824000E+00,+84.2E-06,+3.1639404E+00
-9.9820800E+00,-1.1219E-03,+3.1239014E+00
-9.9817600E+00,-1.1219E-03,+3.1639404E+00
-9.9814400E+00,-317.8E-06,+3.1639404E+00
-9.9811200E+00,-719.8E-06,+3.1639404E+00
-9.9808000E+00,+84.2E-06,+3.1639404E+00
-9.9804800E+00,-317.8E-06,+3.1639404E+00
-9.9801600E+00,-317.8E-06,+3.1639404E+00
-9.9798400E+00,-1.1219E-03,+3.1639404E+00
-9.9795200E+00,-317.8E-06,+3.1639404E+00
-9.9792000E+00,-317.8E-06,+3.1639404E+00
-9.9788800E+00,-1.1219E-03,+3.1639404E+00
-9.9785600E+00,-719.8E-06,+3.1639404E+00
-9.9782400E+00,-719.8E-06,+3.1639404E+00
-9.9779200E+00,+84.2E-06,+3.1639404E+00
-9.9776000E+00,-719.8E-06,+3.1239014E+00
-9.9772800E+00,-1.1219E-03,+3.1639404E+00
-9.9769600E+00,-719.8E-06,+3.1639404E+00
-9.9766400E+00,-719.8E-06,+3.1639404E+00
-9.9763200E+00,+84.2E-06,+3.1639404E+00
-9.9760000E+00,-317.8E-06,+3.1639404E+00
-9.9756800E+00,-719.8E-06,+3.1639404E+00
-9.9753600E+00,+84.2E-06,+3.1639404E+00
-9.9750400E+00,-317.8E-06,+3.1639404E+00
-9.9747200E+00,-317.8E-06,+3.1639404E+00
-9.9744000E+00,-719.8E-06,+3.1639404E+00
-9.9740800E+00,-719.8E-06,+3.1639404E+00
-9.9737600E+00,-719.8E-06,+3.1639404E+00
-9.9734400E+00,-719.8E-06,+3.1639404E+00
-9.9731200E+00,-719.8E-06,+3.1639404E+00
-9.9728000E+00,-317.8E-06,+3.1639404E+00
-9.9724800E+00,-317.8E-06,+3.1639404E+00
-9.9721600E+00,-719.8E-06,+3.1639404E+00
-9.9718400E+00,-719.8E-06,+3.1639404E+00
-9.9715200E+00,-1.1219E-03,+3.1639404E+00
-9.9712000E+00,-719.8E-06,+3.1639404E+00
-9.9708800E+00,-317.8E-06,+3.1639404E+00
-9.9705600E+00,-719.8E-06,+3.1639404E+00
-9.9702400E+00,-719.8E-06,+3.1639404E+00
-9.9699200E+00,-317.8E-06,+3.1639404E+00
-9.9696000E+00,-317.8E-06,+3.1639404E+00
-9.9692800E+00,+84.2E-06,+3.1639404E+00
-9.9689600E+00,-719.8E-06,+3.1639404E+00
-9.9686400E+00,-317.8E-06,+3.1639404E+00
-9.9683200E+00,+84.2E-06,+3.1639404E+00
-9.9680000E+00,-719.8E-06,+3.1639404E+00
-9.9676800E+00,-1.1219E-03,+3.1639404E+00
-9.9673600E+00,-719.8E-06,+3.1639404E+00
-9.9670400E+00,-317.8E-06,+3.1639404E+00
-9.9667200E+00,-1.1219E-03,+3.1639404E+00
-9.9664000E+00,-719.8E-06,+3.1639404E+00
-9.9660800E+00,-317.8E-06,+3.1639404E+00
-9.9657600E+00,-719.8E-06,+3.1639404E+00
-9.9654400E+00,-317.8E-06,+3.1639404E+00
-9.9651200E+00,-719.8E-06,+3.1639404E+00
-9.9648000E+00,-1.1219E-03,+3.1639404E+00
-9.9644800E+00,+84.2E-06,+3.1639404E+00
